ds,yhat,yhat_lower,yhat_upper
2017-01-02,31.29551149122394,25.036409192979153,39.11938936402993
2017-01-09,22.919265261853706,18.335412209482964,28.649081577317133
2017-01-16,17.82223908949923,14.257791271599386,22.27779886187404
2017-01-23,14.310106701893282,11.448085361514627,17.887633377366605
2017-01-30,15.029642864598586,12.02371429167887,18.787053580748232
2017-02-06,3.216470910410335,2.573176728328268,4.020588638012919
2017-02-13,7.93989262066019,6.351914096528152,9.924865775825237
2017-02-20,-1.2470745783441586,0.0,-1.5588432229301983
2017-02-27,1.4384482686027253,1.1507586148821802,1.7980603357534066
2017-03-06,2.1180881692652647,1.6944705354122118,2.647610211581581
2017-03-13,2.822565597994145,2.258052478395316,3.5282069974926813
2017-03-20,2.6200273730710797,2.096021898456864,3.2750342163388497
2017-03-27,2.492621606865868,1.9940972854926944,3.115777008582335
2017-04-03,7.185207152716453,5.748165722173162,8.981508940895566
2017-04-10,9.76788409770664,7.8143072781653125,12.2098551221333
2017-04-17,16.08372712508239,12.866981700065914,20.104658906352988
2017-04-24,14.876439023820092,11.901151219056075,18.595548779775115
2017-05-01,18.44283471717393,14.754267773739144,23.05354339646741
2017-05-08,24.480115459807863,19.584092367846292,30.600144324759828
2017-05-15,30.610089892105073,24.48807191368406,38.26261236513134
2017-05-22,49.17311379189282,39.33849103351426,61.466392239866025
2017-05-29,52.78915947039521,42.231327576316176,65.98644933799402
2017-06-05,50.41028245179452,40.32822596143562,63.012853064743155
2017-06-12,65.54646948156801,52.43717558525441,81.93308685196001
2017-06-19,72.60982306361171,58.08785845088937,90.76227882951464
2017-06-26,83.37630884676558,66.70104707741247,104.22038605845698
2017-07-03,89.69153725129102,71.75322980103282,112.11442156411378
2017-07-10,87.23661327514812,69.78929062011849,109.04576659393514
2017-07-17,95.3708764640578,76.29670117124624,119.21359558007225
2017-07-24,106.17768876032567,84.94215100826054,132.72211095040709
2017-07-31,115.90049436292068,92.72039549033656,144.87561795365085
2017-08-07,119.03787561471967,95.23030049177574,148.7973445183996
2017-08-14,113.9811318165861,91.18490545326888,142.47641477073262
2017-08-21,74.10367556977077,59.28294045581662,92.62959446221346
2017-08-28,117.61007836469835,94.0880626917587,147.01259795587293
2017-09-04,112.97096859821406,90.37677487857125,141.21371074776758
2017-09-11,105.58452459697567,84.46761967758054,131.98065574621958
2017-09-18,123.69724770733818,98.95779816587054,154.6215596341727
2017-09-25,116.93505035297079,93.54804028237663,146.1688129412135
2017-10-02,111.54853140478741,89.23882512382994,139.43566425598425
2017-10-09,109.60212690407445,87.68170152325956,137.00265863009307
2017-10-16,58.41240060403105,46.729920483224845,73.01550075503881
2017-10-23,102.64923931473214,82.11939145178572,128.31154914341516
2017-10-30,97.73066144718183,78.18452915774547,122.16332680897729
2017-11-06,76.5541859380209,61.243348750416715,95.69273242252612
2017-11-13,79.17845489249893,63.34276391399915,98.97306861562367
2017-11-20,70.67735115173146,56.54188092138517,88.34668893966432
2017-11-27,60.18730590683253,48.149844725466025,75.23413238354065
2017-12-04,56.67041318200275,45.3363305456022,70.83801647750343
2017-12-11,47.13995461915884,37.71196369532708,58.92494327394856
2017-12-18,48.5781468570022,38.862517485601764,60.72268357125275
2017-12-25,38.27379676094209,30.619037408753673,47.84224595117762
2018-01-01,35.405944893690105,28.324755914952085,44.25743111711263
2018-01-08,29.656101784171128,23.724881427336904,37.07012723021391
2018-01-15,22.02132129312499,17.617057034499993,27.52665161640624
2018-01-22,20.91546453978082,16.73237163182466,26.144330674726028
2018-01-29,15.641943995488704,12.513555196390964,19.55242999436088
2018-02-05,13.983219204305712,11.18657536344457,17.47902400538214
2018-02-12,3.4886224453198444,2.7908979562558756,4.360778056649806
2018-02-19,2.4149306967214366,1.9319445573771494,3.0186633709017956
2018-02-26,0.7156518771735577,0.5725215017388462,0.8945648464669471
2018-03-05,1.4908614248375782,1.1926891398700625,1.8635767810469728
2018-03-12,4.887917375683971,3.910333900547177,6.109896719604963
2018-03-19,3.5410735247603697,2.832858819808296,4.426341905950462
2018-03-26,2.100766308869596,1.6806130470956768,2.6259578860869945
2018-04-02,8.402383111604156,6.721906489283325,10.502978889505194
2018-04-09,15.738971247562898,12.591176998050319,19.673714059453623
2018-04-16,14.608344840282438,11.686675872225951,18.26043105035305
2018-04-23,16.70222383850504,13.361779070804033,20.8777797981313
2018-04-30,20.482159605485112,16.38572768438809,25.60269950685639
2018-05-07,31.740011552963303,25.392009242370644,39.67501444120413
2018-05-14,40.98008653725343,32.784069229802746,51.22510817156679
2018-05-21,41.70862409940059,33.366899279520474,52.135780124250736
2018-05-28,49.741728578883304,39.79338286310664,62.17716072360413
2018-06-04,50.98426287915932,40.787410303327455,63.73032859894914
2018-06-11,63.98507361447014,51.18805889157611,79.98134201808767
2018-06-18,73.59108370148856,58.87286696119085,91.9888546268607
2018-06-25,89.22031586983559,71.37625269586847,111.52539483729448
2018-07-02,77.00790934250536,61.60632747400429,96.25988667813169
2018-07-09,92.71577565008431,74.17262052006745,115.89471956260539
2018-07-16,92.48850938212368,73.99080750569895,115.6106367276546
2018-07-23,99.91865866622706,79.93492693298165,124.89832333278383
2018-07-30,109.740042728387,87.7920341827096,137.17505341048374
2018-08-06,108.9938993074231,87.19511944593849,136.2423741342789
2018-08-13,116.4957145964766,93.19657167718128,145.61964324559574
2018-08-20,97.77550164028544,78.22040131222836,122.2193770503568
2018-08-27,115.53135641700173,92.42508513360139,144.41419552125217
2018-09-03,123.57460998591486,98.85968798873189,154.46826248239358
2018-09-10,118.3219552453333,94.65756419626665,147.90244405666664
2018-09-17,112.72856364544593,90.18285091635676,140.91070455680742
